event_id,symbol,sector,earnings_date,spot_cutoff,prior_jumps_count,agent_median_forecast,q20,q80,b0_hist_median,b1_implied_move,b2_sector_median,b3_global_median,realized_abs_move,abs_error_agent,abs_error_b0,abs_error_b1,abs_error_b2,abs_error_b3,in_interval_60,exceed_correct,decision,gate_status,forecast_hash
EV-01,AAPL,Technology,2024-10-31,227.57,11,0.04536,0.01587,0.07568,0.03541,0.0512,0.05856,0.05056,0.0207,0.02466,0.01471,0.0305,0.03786,0.02986,True,True,no_trade,fail,b24719bdcfe878de778fa2df5cc606a5203c1f8673abd02fd6e3dea74780f11e
EV-02,AAPL,Technology,2024-08-01,218.81,10,0.0486,0.02555,0.07209,0.04147,0.0513,0.05725,0.05056,0.00457,0.04403,0.0369,0.04673,0.05268,0.04599,False,True,no_trade,fail,f3049b617fa59ebf710aeb743853a767eb142ab92d3ef58a62cff549e8741057
EV-03,AAPL,Technology,2024-05-02,173.05,9,0.0446,0.02238,0.07182,0.03541,0.0488,0.05153,0.05108,0.05958,0.01498,0.02417,0.01078,0.00805,0.0085,True,False,no_trade,fail,b9f3d27fd86a9edb6c3a0094b6d7cc7d49137929e42b74724175251e24666719
EV-04,MSFT,Technology,2024-10-30,434.52,11,0.04113,0.02329,0.09057,0.03067,0.0458,0.05803,0.0509,0.06478,0.02365,0.03411,0.01898,0.00675,0.01388,True,False,no_trade,fail,e00bb759086560361ce81f0eaeec071a9cf9810a4fb9f26f17d94a0a4712527b
EV-05,MSFT,Technology,2024-07-30,424.325,10,0.04485,0.03309,0.09041,0.03398,0.052,0.05764,0.05153,0.01486,0.02999,0.01912,0.03714,0.04278,0.03667,False,True,no_trade,fail,6be65c0980d9b7012c761757c5321533283e6218d70bf7d2318a30df14e2c813
EV-06,MSFT,Technology,2024-04-25,399.075,9,0.05037,0.03843,0.09383,0.03729,0.0639,0.05071,0.05108,0.01792,0.03245,0.01937,0.04598,0.03279,0.03316,False,True,no_trade,fail,c0280d63926bce9b03a4ff390fbbdd57edcb59372567caee8710ad8c57fb0ba7
EV-07,GOOGL,Communication Services,2024-10-29,170.19,11,0.07161,0.0351,0.09667,0.0749,0.0679,0.0878,0.05108,0.0248,0.04681,0.0501,0.0431,0.063,0.02628,False,False,no_trade,fail,388b3f08acc56a3b5ae820270b37381845fa8c142cad20b1fc274f6af06a6f1e
EV-08,GOOGL,Communication Services,2024-07-23,182.58,10,0.07089,0.03285,0.0957,0.07532,0.0649,0.0907,0.05179,0.05428,0.01661,0.02104,0.01062,0.03642,0.00249,True,False,no_trade,fail,e750b185cc7eb3b91ccba7842fae3649a8c62975acc35857643edf8de6e3f447
EV-09,GOOGL,Communication Services,2024-04-25,156.06,9,0.07234,0.03196,0.09766,0.0749,0.0702,0.0907,0.05108,0.10188,0.02955,0.02698,0.03168,0.01118,0.0508,False,True,no_trade,pass,0e49ff866f404681538b1ca70567f07bc4e936c17bd9471f3c0deed2cbf17346
EV-10,AMZN,Consumer Discretionary,2024-10-31,186.655,11,0.0803,0.06424,0.10841,0.08293,0.0819,0.07925,0.05056,0.06003,0.02027,0.0229,0.02187,0.01922,0.00947,False,True,no_trade,pass,a448f7540e2ce738f7dc0f42b0bf54ef882bbe442ba4553a10e9211e2ec97201
EV-11,AMZN,Consumer Discretionary,2024-08-01,184.68,10,0.07854,0.06153,0.10923,0.07925,0.0825,0.07925,0.05056,0.0917,0.01316,0.01245,0.0092,0.01245,0.04114,True,False,no_trade,fail,352355585312d157ede717f3426c3dd03b6280be30cdb4cebf26d693130f891f
EV-12,AMZN,Consumer Discretionary,2024-04-30,178.53,9,0.08182,0.06546,0.11478,0.08293,0.0867,0.07558,0.0509,0.00168,0.08014,0.08125,0.08502,0.0739,0.04922,False,True,no_trade,fail,80b41dda1c7c82436aa336fb984801d0f14869360da15ab381611e399a13acac
EV-13,META,Communication Services,2024-10-30,591.885,11,0.11055,0.03892,0.185,0.13927,0.0829,0.08491,0.0509,0.04258,0.06797,0.09669,0.04032,0.04233,0.00832,True,False,no_trade,fail,ee545336555fc0366160c0861705a9edc557be7a36f24e224c3051a524ad23fc
EV-14,META,Communication Services,2024-07-31,474.535,10,0.12115,0.0424,0.18068,0.15791,0.0851,0.0878,0.0509,0.04865,0.0725,0.10926,0.03645,0.03915,0.00225,True,False,no_trade,fail,ed39db40700b179a46aee21eb9720c0ad6cb3e9b11227e2007ab59d0b608a297
EV-15,META,Communication Services,2024-04-24,494.76,9,0.13183,0.04614,0.17798,0.17654,0.0876,0.0878,0.0509,0.10817,0.02366,0.06837,0.02057,0.02037,0.05727,True,True,no_trade,fail,7359691ef1e69483fafead57ab75375aaab0d39a0bea30c0e83a112b98f4d906
EV-16,NVDA,Technology,2024-08-28,126.36,10,0.07867,0.02961,0.17765,0.06367,0.1091,0.05725,0.05019,0.06933,0.00934,0.00566,0.03977,0.01208,0.01914,True,True,short_iron_butterfly,pass,4f378c8560888509a064e68eafa4e563d8498fa50cb4acb886acad5bc0ccfe23
EV-17,NVDA,Technology,2024-05-22,942.58,9,0.06392,0.02739,0.17897,0.05179,0.0824,0.05179,0.05108,0.10191,0.03799,0.05012,0.01951,0.05012,0.05083,True,False,short_iron_butterfly,pass,b63252b3e18a1ea293a4b7bcdd46bf0af6a071677a3042ab52499d38708dd00e
EV-18,AMD,Technology,2024-10-29,166.955,11,0.07381,0.02763,0.09964,0.07094,0.0815,0.05764,0.05108,0.10952,0.03571,0.03858,0.02802,0.05188,0.05844,False,False,no_trade,fail,28a34287a6872953126e27b1070af71af04b5b096e983e28420fd61df37f751b
EV-19,AMD,Technology,2024-07-30,139.05,10,0.08079,0.02828,0.10906,0.08057,0.0874,0.05764,0.05153,0.03912,0.04166,0.04145,0.04828,0.01852,0.01241,True,True,short_iron_butterfly,pass,6db5c18e5ca0e9bbf9dde154e805a151454e363fbe71cd1d3ad5e7bc553dfa47
EV-20,AMD,Technology,2024-04-30,159.9,9,0.07542,0.0264,0.10181,0.07094,0.0866,0.05071,0.0509,0.09794,0.02252,0.027,0.01134,0.04723,0.04704,True,False,short_iron_butterfly,pass,923e2b4ef75bdf3bacbf76a494f42e1fb7d110c30a34e517a59b9d7dc6b17596
